caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,landmark,protected,multipledec,majority,dissent,novote,lat,long
1970-121,1970-121-01,1970-121-01-01,1970-121-01-01-01,6/7/1971,1.0,403 U.S. 15,1970,1502,Burger,299,COHEN v. CALIFORNIA,2/22/1971,,218.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,301.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30150.0,3.0,2.0,0.0,2.0,,2.0,200.0,,91.0,81.0,1,5,4,Yes,Yes,No,"[90, 95, 78, 91, 94, 98, 92, 81]",,,37.781946999999995,-122.418145
1971-158,1971-158-01,1971-158-01-01,1971-158-01-01-01,6/22/1972,1.0,407 U.S. 551,1971,1504,Burger,71-492,"LLOYD CORP., LTD. v. TANNER et al.",4/18/1972,,235.0,,218.0,,1.0,,,0.0,108.0,,29.0,,0.0,11.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30010.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,5,4,Yes,Yes,No,"[81, 91, 92, 94, 98]","[99, 95, 78, 100]",,45.516039,-122.676302
1972-158,1972-158-01,1972-158-01-01,1972-158-01-01-01,6/21/1973,1.0,413 U.S. 15,1972,1504,Burger,70-73,MILLER v. CALIFORNIA,1/18/1972,11/7/1972,101.0,,28.0,6.0,2.0,,,0.0,302.0,6.0,302.0,6.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,30190.0,3.0,1.0,1.0,2.0,,2.0,200.0,,99.0,99.0,1,5,4,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,37.781946999999995,-122.418145
1972-159,1972-159-01,1972-159-01-01,1972-159-01-01-01,6/21/1973,1.0,413 U.S. 49,1972,1504,Burger,71-1051,"PARIS ADULT THEATRE I et al. v. SLATON, DISTRICT ATTORNEY, et al.",10/19/1972,,156.0,,28.0,13.0,1.0,,,0.0,302.0,13.0,300.0,13.0,0.0,12.0,3.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,30190.0,3.0,1.0,1.0,2.0,,2.0,200.0,,99.0,99.0,1,5,4,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,32.8372,-83.62544799999999
1973-162,1973-162-01,1973-162-01-01,1973-162-01-01-01,6/25/1974,1.0,418 U.S. 323,1973,1504,Burger,72-617,"GERTZ v. ROBERT WELCH, INC.",11/14/1973,,111.0,,178.0,,1.0,,,0.0,66.0,,27.0,,0.0,11.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,30030.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,7,2,Yes,Yes,No,"[99, 95, 100, 101, 102]","[81, 92, 94, 98]",,41.878703,-87.62893199999999
1975-033,1975-033-01,1975-033-01-01,1975-033-01-01-01,1/30/1976,6.0,424 U.S. 1,1975,1506,Burger,75-436,"BUCKLEY et al. v. VALEO, SECRETARY OF THE UNITED STATES SENATE, et al.",11/10/1975,,23.0,,343.0,,2.0,,,1.0,55.0,,32.0,,0.0,1.0,2.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,30140.0,3.0,2.0,0.0,1.0,,1.0,135.0,,,92.0,1,7,1,Yes,No,Yes,,,,38.892894,-77.016234
1975-146,1975-146-01,1975-146-01-01,1975-146-01-01-01,6/24/1976,1.0,427 U.S. 50,1975,1506,Burger,75-312,"YOUNG, MAYOR OF DETROIT, et al. v. AMERICAN MINI THEATRES, INC., et al.",3/24/1976,,3.0,27.0,242.0,,1.0,,,0.0,81.0,,26.0,,1.0,10.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30190.0,3.0,1.0,0.0,2.0,,2.0,200.0,,103.0,99.0,1,5,4,Yes,No,Yes,,,,42.330363,-83.04977199999999
1976-088,1976-088-01,1976-088-01-01,1976-088-01-01-01,4/20/1977,1.0,430 U.S. 705,1976,1506,Burger,75-1453,"WOOLEY, CHIEF OF POLICE OF LEBANON, et al. v. MAYNARD ET UX.",11/29/1976,,28.0,34.0,130.0,,2.0,,,1.0,91.0,,91.0,,0.0,1.0,,2.0,3.0,2.0,0.0,0.0,0.0,0.0,30160.0,3.0,2.0,0.0,2.0,,2.0,202.0,,99.0,99.0,1,6,3,Yes,Yes,No,"[99, 95, 101, 102, 103]","[92, 94, 98, 100]",,43.201826000000004,-71.539846
1977-073,1977-073-01,1977-073-01-01,1977-073-01-01-01,4/26/1978,1.0,435 U.S. 765,1977,1506,Burger,76-1172,"FIRST NATIONAL BANK OF BOSTON et al. v. BELLOTTI, ATTORNEY GENERAL OF MASSACHUSETTS",11/9/1977,,113.0,,28.0,26.0,2.0,,,0.0,300.0,26.0,300.0,26.0,0.0,1.0,,1.0,3.0,3.0,0.0,1.0,0.0,0.0,30140.0,3.0,1.0,0.0,2.0,,2.0,200.0,,101.0,99.0,1,5,4,Yes,Yes,No,"[99, 92, 94, 98, 101, 103]","[95, 100, 102]",,42.359215,-71.061128
1979-154,1979-154-01,1979-154-01-01,1979-154-01-01-01,7/2/1980,7.0,448 U.S. 555,1979,1506,Burger,79-243,"RICHMOND NEWSPAPERS, INC., et al. v. VIRGINIA et al.",2/19/1980,,190.0,,28.0,55.0,1.0,,,0.0,302.0,55.0,300.0,55.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30010.0,3.0,2.0,0.0,2.0,,2.0,200.0,,99.0,99.0,1,7,1,Yes,Yes,No,"[99, 94, 100, 101, 103]","[92, 95, 98, 102]",,37.268627,-79.944337
