"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseName"
"117",116,0.0145454545454545,0,0,0.174545454545455,0,0,0,0,0,0.00363636363636364,0.0181818181818182,0.152727272727273,0.00363636363636364,0.214545454545455,0.00363636363636364,0.00727272727272727,0,0.00363636363636364,0.290909090909091,0.112727272727273,"syllabus117","MCGOWAN et al. v. MARYLAND"
"118",117,0.0123456790123457,0,0,0,0,0,0,0.0123456790123457,0,0,0,0,0,0.37037037037037,0,0,0,0,0.604938271604938,0,"syllabus118","BRAUNFELD et al. v. BROWN, COMMISSIONER OF POLICE OF PHILADELPHIA, et al."
"119",118,0.000335638047929113,0,0.814593542323958,0,0.00107404175337316,0.00328925286970531,0.025374236423441,0.000201382828757468,0.0731019668389609,0,0.027253809491844,0.00516882593810834,0.00107404175337316,0.0465865610525609,0.00107404175337316,0,0.000738403705444049,0,0.000134255219171645,0,"syllabus119","COMMUNIST PARTY OF THE UNITED STATES v. SUBVERSIVE ACTIVITIES CONTROL BOARD"
"120",119,0,0.00381679389312977,0.179389312977099,0,0.0152671755725191,0.00381679389312977,0.141221374045802,0.00763358778625954,0,0,0,0,0,0.553435114503817,0.083969465648855,0,0,0.00763358778625954,0,0.00381679389312977,"syllabus120","SCALES v. UNITED STATES"
"121",120,0,0,0.110169491525424,0.00847457627118644,0,0,0,0,0.0847457627118644,0,0,0,0,0.745762711864407,0.0338983050847458,0.00847457627118644,0,0,0,0.00847457627118644,"syllabus121","NOTO v. UNITED STATES"
"122",121,0.0625,0,0,0.03125,0,0,0,0.375,0,0.09375,0.015625,0.125,0,0.203125,0.015625,0,0,0,0.0625,0.015625,"syllabus122","TORCASO v. WATKINS, CLERK"
"123",122,0,0,0,0,0,0,0,0.0235294117647059,0,0,0.00588235294117647,0.247058823529412,0,0.441176470588235,0,0.00588235294117647,0.0235294117647059,0.241176470588235,0,0.0117647058823529,"syllabus123","MARCUS et al. v. SEARCH WARRANT OF PROPERTY AT 104 EAST TENTH STREET, KANSAS CITY, MISSOURI, et al."
"124",123,0.535353535353535,0,0,0,0,0,0,0.0505050505050505,0,0,0,0.0101010101010101,0,0.373737373737374,0,0.0202020202020202,0,0,0.0101010101010101,0,"syllabus124","LATHROP v. DONOHUE"
"125",124,0,0,0.453012048192771,0,0.0168674698795181,0.00240963855421687,0,0.0385542168674699,0.00481927710843374,0,0.00240963855421687,0,0,0.132530120481928,0.344578313253012,0,0.00481927710843374,0,0,0,"syllabus125","KILLIAN v. UNITED STATES"
"126",125,0.0842105263157895,0,0.0947368421052632,0.0315789473684211,0,0.0315789473684211,0,0.126315789473684,0,0,0,0,0,0.621052631578947,0,0,0.0105263157894737,0,0,0,"syllabus126","CRAMP v. BOARD OF PUBLIC INSTRUCTION OF ORANGE COUNTY"
"127",126,0,0,0,0,0.205882352941176,0,0.367647058823529,0,0.0441176470588235,0,0.00980392156862745,0,0.00980392156862745,0.357843137254902,0.00490196078431373,0,0,0,0,0,"syllabus127","RUSSELL v. UNITED STATES"
"128",127,0,0.0130718954248366,0,0,0.261437908496732,0,0,0,0,0,0.0784313725490196,0,0,0.372549019607843,0.26797385620915,0,0,0,0.0065359477124183,0,"syllabus128","WOOD v. GEORGIA"
"129",128,0,0.0212765957446809,0,0,0.0106382978723404,0.074468085106383,0,0.351063829787234,0,0.0531914893617021,0.0106382978723404,0.159574468085106,0,0,0,0,0,0.265957446808511,0,0.0531914893617021,"syllabus129","MANUAL ENTERPRISES, INC., et al. v. DAY, POSTMASTER GENERAL"
"130",129,0,0.0492227979274611,0.0569948186528497,0.00259067357512953,0,0,0.038860103626943,0.038860103626943,0.181347150259067,0.00518134715025907,0,0,0,0.479274611398964,0.00259067357512953,0.129533678756477,0,0,0.0155440414507772,0,"syllabus130","NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE v. BUTTON, ATTORNEY GENERAL OF VIRGINIA, et al."
"131",130,0,0,0,0.00478468899521531,0,0.00478468899521531,0,0.0334928229665072,0.0669856459330144,0,0.0191387559808612,0.464114832535885,0,0.181818181818182,0,0,0,0.220095693779904,0.00478468899521531,0,"syllabus131","BANTAM BOOKS, INC., et al. v. SULLIVAN et al."
"132",131,0,0,0,0.0769230769230769,0,0,0,0.043956043956044,0.010989010989011,0,0.010989010989011,0,0,0.340659340659341,0.021978021978022,0,0.494505494505495,0,0,0,"syllabus132","EDWARDS et al. v. SOUTH CAROLINA"
"133",132,0.0101522842639594,0,0.142131979695431,0,0.0101522842639594,0,0.208121827411168,0,0.131979695431472,0.0050761421319797,0,0,0,0.477157360406091,0,0,0,0,0,0.0152284263959391,"syllabus133","GIBSON v. FLORIDA LEGISLATIVE INVESTIGATION COMMITTEE"
"134",133,0,0,0,0.490566037735849,0.0188679245283019,0.0754716981132075,0,0.30188679245283,0.0188679245283019,0,0.0377358490566038,0,0,0.0566037735849057,0,0,0,0,0,0,"syllabus134","SCHOOL DISTRICT OF ABINGTON TOWNSHIP, PENNSYLVANIA, et al. v. SCHEMPP et al."
"135",134,0.0446428571428571,0,0.0357142857142857,0,0,0,0,0.107142857142857,0.0178571428571429,0,0,0,0,0.125,0.0178571428571429,0,0,0,0.651785714285714,0,"syllabus135","SHERBERT v. VERNER et al., MEMBERS OF SOUTH CAROLINA EMPLOYMENT SECURITY COMMISSION, et al."
"136",135,0,0,0.014018691588785,0,0,0,0,0,0,0,0,0.00934579439252336,0.00467289719626168,0.163551401869159,0.799065420560748,0.00934579439252336,0,0,0,0,"syllabus136","NEW YORK TIMES CO. v. SULLIVAN"
"137",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"syllabus137","HENRY et al. v. CITY OF ROCK HILL"
