,employees.employee.employment.public.union.board.political.labor.employer.government,general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr,communist.party.organization.board.foreign.registration.act.control.movement.organizations,school.religious.schools.student.establishment.religion.students.forum.program.university,grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation,mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house,act.congress.committee.answer.service.inquiry.president.united.questions.security,opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj,speech.government.interest.act.interests.governmental.opinion.case.united.states,advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting,candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign,injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief,limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate,affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed,false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial,solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north,flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group,obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors,religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales,ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation,syllabus
18,0,0,0.01369863,0,0.02283105,0,0.00456621,0,0.114155251,0,0,0,0.03196347,0.479452055,0,0,0.333333333,0,0,0,syllabus18
19,0,0,0.004032258,0,0.048387097,0.028225806,0,0,0,0,0,0.100806452,0,0.318548387,0.459677419,0,0.004032258,0.008064516,0.028225806,0,syllabus19
20,0,0,0,0,0,0.019607843,0,0,0.009803922,0,0.009803922,0.009803922,0.009803922,0.941176471,0,0,0,0,0,0,syllabus20
21,0,0,0.134831461,0,0,0,0,0,0.033707865,0.011235955,0,0,0,0.775280899,0,0,0.04494382,0,0,0,syllabus21
22,0.020618557,0,0,0,0.020618557,0,0,0,0,0.010309278,0,0,0,0.587628866,0,0.010309278,0,0.092783505,0.010309278,0.24742268,syllabus22
23,0.017928287,0,0.009960159,0,0.003984064,0.083665339,0,0.059760956,0.009960159,0,0,0.005976096,0.003984064,0.633466135,0,0,0.003984064,0,0,0.167330677,syllabus23
24,0.004854369,0,0,0,0.019417476,0.048543689,0,0,0.077669903,0,0,0,0,0.378640777,0,0.019417476,0,0,0.009708738,0.441747573,syllabus24
25,0,0,0.052238806,0.298507463,0,0,0,0.074626866,0.007462687,0,0,0.067164179,0,0.343283582,0,0,0.067164179,0,0.089552239,0,syllabus25
26,0.077966102,0.003389831,0,0.003389831,0.016949153,0,0,0,0.125423729,0,0,0,0,0.589830508,0,0.006779661,0.071186441,0,0,0.105084746,syllabus26
27,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0.727272727,0,0.045454545,0.045454545,0,0,0.159090909,syllabus27
28,0,0.008510638,0.004255319,0.042553191,0,0.017021277,0.008510638,0,0,0,0,0.05106383,0,0.553191489,0.008510638,0.008510638,0.10212766,0,0.046808511,0.14893617,syllabus28
29,0,0,0,0,0,0.036231884,0,0,0,0,0,0,0,0.434782609,0,0,0,0,0,0.528985507,syllabus29
30,0,0.023255814,0,0.005813953,0.156976744,0,0,0,0.168604651,0,0,0.005813953,0,0.610465116,0.023255814,0,0.005813953,0,0,0,syllabus30
31,0.092105263,0,0,0,0,0.013157895,0,0,0,0,0,0,0.013157895,0.815789474,0,0.052631579,0.013157895,0,0,0,syllabus31
32,0,0,0,0.029850746,0,0.029850746,0,0.074626866,0,0.089552239,0,0.014925373,0,0.358208955,0,0,0,0.014925373,0,0.388059701,syllabus32
33,0,0,0.019047619,0,0,0,0,0.028571429,0,0,0,0.00952381,0.038095238,0.333333333,0,0,0.571428571,0,0,0,syllabus33
34,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0.333333333,0,0,0.119047619,0,0,0.476190476,syllabus34
35,0,0.044776119,0.014925373,0,0,0.014925373,0.074626866,0.029850746,0.179104478,0,0,0,0,0.208955224,0,0,0.343283582,0,0.044776119,0.044776119,syllabus35
36,0,0.009708738,0.019417476,0.252427184,0,0,0.048543689,0.087378641,0.077669903,0,0,0,0,0.300970874,0,0,0.203883495,0,0,0,syllabus36
37,0,0,0.0390625,0,0,0.0390625,0,0,0,0.0078125,0.0078125,0,0,0.421875,0,0.0703125,0,0,0.1796875,0.234375,syllabus37
38,0,0,0,0,0,0,0.016666667,0,0,0.016666667,0,0,0,0.633333333,0,0,0.05,0,0.066666667,0.216666667,syllabus38
39,0,0,0.237410072,0,0,0,0.129496403,0.028776978,0.014388489,0,0,0,0,0.482014388,0.079136691,0,0.028776978,0,0,0,syllabus39
40,0,0.022900763,0.022900763,0.007633588,0,0,0,0.404580153,0,0,0.007633588,0,0,0.175572519,0.198473282,0.015267176,0,0.022900763,0.114503817,0.007633588,syllabus40
41,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0.447368421,0,0,0.026315789,0.026315789,0.210526316,0.263157895,syllabus41
42,0.072727273,0,0.042424242,0,0.006060606,0,0.006060606,0.006060606,0.121212121,0,0.012121212,0.018181818,0,0.642424242,0,0.072727273,0,0,0,0,syllabus42
43,0.067073171,0,0.036585366,0,0,0,0.262195122,0.06097561,0.036585366,0.006097561,0.146341463,0.097560976,0,0.280487805,0.006097561,0,0,0,0,0,syllabus43
44,0,0,0,0.03960396,0,0,0.00990099,0,0.01980198,0.00990099,0,0,0,0.584158416,0,0.03960396,0.079207921,0,0.118811881,0.099009901,syllabus44
45,0.021505376,0,0,0,0,0,0.010752688,0,0,0,0,0,0,0.559139785,0,0,0,0,0,0.408602151,syllabus45
46,0.24,0.002352941,0.014117647,0,0,0.004705882,0.014117647,0.143529412,0.122352941,0,0.244705882,0.016470588,0.002352941,0.181176471,0,0,0.007058824,0,0.007058824,0,syllabus46
47,0,0,0.048611111,0,0.215277778,0,0,0.104166667,0.041666667,0,0.006944444,0,0,0.451388889,0.097222222,0,0.027777778,0,0.006944444,0,syllabus47
48,0.105691057,0,0,0,0.008130081,0.012195122,0,0,0.158536585,0.109756098,0,0.032520325,0.008130081,0.544715447,0,0,0,0.020325203,0,0,syllabus48
49,0,0,0,0,0,0.01,0,0.32,0.01,0.02,0.01,0.33,0,0.19,0.06,0.04,0,0,0,0.01,syllabus49
50,0.022346369,0,0.016759777,0.553072626,0,0,0,0.067039106,0,0,0.011173184,0,0,0.301675978,0,0.005586592,0.022346369,0,0,0,syllabus50
51,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.8375,0.0125,0,0.05,0.025,0.025,0,syllabus51
52,0.001579779,0.003159558,0.020537125,0,0.012638231,0.009478673,0,0,0.028436019,0,0.020537125,0.004739336,0,0.238546603,0,0,0.066350711,0.003159558,0.003159558,0.587677725,syllabus52
53,0,0,0,0,0.018518519,0.018518519,0,0,0,0,0,0,0,0.555555556,0.018518519,0,0,0,0,0.388888889,syllabus53
54,0.1,0,0,0,0.033333333,0,0,0.086666667,0,0,0.006666667,0,0,0.66,0,0,0.013333333,0,0,0.1,syllabus54
55,0,0,0,0,0.007352941,0,0,0.022058824,0,0,0,0,0,0.382352941,0.161764706,0,0.272058824,0,0,0.154411765,syllabus55
56,0,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0.954954955,0,0,0,0,0.027027027,0,syllabus56
57,0,0,0,0,0.075471698,0.018867925,0,0.113207547,0,0,0,0,0,0.490566038,0.018867925,0.018867925,0.018867925,0.245283019,0,0,syllabus57
58,0.311170213,0.002659574,0.210106383,0.013297872,0,0,0.010638298,0,0.114361702,0,0.045212766,0.005319149,0.013297872,0.268617021,0.002659574,0.002659574,0,0,0,0,syllabus58
59,0.145985401,0,0,0.01459854,0,0,0,0.072992701,0,0,0,0,0,0.693430657,0,0,0.00729927,0,0.02189781,0.04379562,syllabus59
60,0.2,0,0.022222222,0.022222222,0,0,0.044444444,0,0,0,0,0,0,0.622222222,0,0,0,0.066666667,0.022222222,0,syllabus60
61,0.326530612,0.020408163,0.010204082,0,0.020408163,0.020408163,0,0.030612245,0.040816327,0,0,0.020408163,0.010204082,0.408163265,0,0,0,0,0,0.091836735,syllabus61
62,0,0,0,0,0,0,0,0.012121212,0.042424242,0,0,0.084848485,0,0.206060606,0,0.012121212,0.084848485,0,0.042424242,0.515151515,syllabus62
63,0.010204082,0,0,0.091836735,0.010204082,0.020408163,0,0,0,0,0,0.010204082,0,0.387755102,0.040816327,0,0,0,0,0.428571429,syllabus63
64,0,0,0,0,0,0.016806723,0,0.117647059,0.016806723,0,0.016806723,0,0,0.394957983,0,0,0.394957983,0,0,0.042016807,syllabus64
65,0.444444444,0,0.282051282,0,0,0.008547009,0.008547009,0.162393162,0,0,0,0.017094017,0,0.05982906,0,0,0,0,0,0.017094017,syllabus65
66,0,0.015873016,0,0,0,0.293650794,0.198412698,0.277777778,0,0,0.007936508,0,0,0.206349206,0,0,0,0,0,0,syllabus66
67,0,0,0.054878049,0,0.012195122,0.067073171,0.042682927,0.231707317,0,0,0,0,0,0.573170732,0,0,0.012195122,0,0,0.006097561,syllabus67
68,0.005376344,0,0,0.005376344,0,0.075268817,0,0,0.005376344,0.021505376,0,0.005376344,0,0.26344086,0,0.075268817,0,0.064516129,0.161290323,0.317204301,syllabus68
69,0.152542373,0,0.139830508,0,0.012711864,0,0.059322034,0,0,0.004237288,0.016949153,0.055084746,0,0.474576271,0,0.004237288,0,0,0,0.080508475,syllabus69
70,0.08490566,0,0.132075472,0.075471698,0,0.014150943,0,0.014150943,0.004716981,0,0,0,0,0.669811321,0,0,0,0,0,0.004716981,syllabus70
71,0,0,0.141141141,0.006006006,0,0,0.57957958,0.15015015,0.012012012,0,0.003003003,0.003003003,0,0.09009009,0,0,0,0.012012012,0,0.003003003,syllabus71
72,0,0,0.008196721,0,0,0.024590164,0.450819672,0.049180328,0.008196721,0.008196721,0,0.131147541,0,0.319672131,0,0,0,0,0,0,syllabus72
73,0,0,0,0.006134969,0,0.006134969,0,0,0,0,0,0,0,0.680981595,0.153374233,0,0.141104294,0,0,0.012269939,syllabus73
74,0,0,0,0.004950495,0.00990099,0,0,0,0.202970297,0,0,0.079207921,0,0.366336634,0,0,0,0.311881188,0,0.024752475,syllabus74
75,0,0,0.125,0,0.005681818,0.022727273,0,0.068181818,0,0,0,0.005681818,0.022727273,0.534090909,0,0.005681818,0,0,0.198863636,0.011363636,syllabus75
76,0.205128205,0,0.128205128,0.008547009,0,0,0,0,0,0,0.085470085,0,0,0.521367521,0,0.034188034,0,0.008547009,0.008547009,0,syllabus76
77,0,0,0,0.075,0.125,0,0,0,0,0,0,0.025,0,0.4,0,0,0,0,0,0.375,syllabus77
78,0,0,0,0,0.043478261,0,0,0.01242236,0,0,0.01242236,0,0,0.602484472,0,0,0,0,0.02484472,0.304347826,syllabus78
79,0.038461538,0.153846154,0,0,0,0.038461538,0.038461538,0.115384615,0,0,0,0,0,0.230769231,0,0,0,0.384615385,0,0,syllabus79
80,0,0,0.066666667,0,0,0,0,0.005555556,0.238888889,0.005555556,0.15,0,0.077777778,0.377777778,0,0.05,0,0,0.027777778,0,syllabus80
81,0.202531646,0,0.181434599,0,0,0,0,0.312236287,0,0,0.042194093,0.122362869,0,0.122362869,0.012658228,0,0,0,0,0.004219409,syllabus81
82,0,0,0.016949153,0.033898305,0,0,0,0,0.050847458,0.016949153,0.033898305,0.016949153,0.016949153,0.627118644,0.084745763,0,0,0,0,0.101694915,syllabus82
83,0,0,0.02,0,0,0,0,0,0.06,0.02,0,0,0.02,0.4,0,0,0,0.4,0,0.08,syllabus83
84,0.133333333,0,0,0,0,0.025,0,0.116666667,0.025,0.091666667,0.225,0,0,0.383333333,0,0,0,0,0,0,syllabus84
85,0,0,0,0,0.048582996,0,0.641700405,0,0.137651822,0.002024291,0.004048583,0,0,0.159919028,0,0.006072874,0,0,0,0,syllabus85
86,0,0,0,0.007092199,0,0.113475177,0.205673759,0.361702128,0.042553191,0,0,0.007092199,0,0.262411348,0,0,0,0,0,0,syllabus86
87,0.28030303,0,0.007575758,0.007575758,0,0.068181818,0,0.151515152,0,0,0,0,0,0.401515152,0,0,0,0,0,0.083333333,syllabus87
88,0,0.008230453,0.234567901,0,0,0.008230453,0.012345679,0.0781893,0,0,0,0,0.004115226,0.526748971,0.119341564,0,0,0,0.008230453,0,syllabus88
89,0,0,0,0,0.033333333,0.008333333,0,0,0,0.008333333,0,0.166666667,0,0.533333333,0,0.008333333,0,0.233333333,0,0.008333333,syllabus89
90,0,0,0,0,0.009677419,0.006451613,0,0.003225806,0.132258065,0.029032258,0,0,0,0.296774194,0,0,0,0.522580645,0,0,syllabus90
91,0.014705882,0,0.014705882,0,0.007352941,0,0,0.029411765,0.014705882,0,0,0,0,0.558823529,0,0.014705882,0,0,0,0.345588235,syllabus91
92,0,0,0.183431953,0,0,0,0.656804734,0,0,0.023668639,0,0,0,0.136094675,0,0,0,0,0,0,syllabus92
93,0.261146497,0.012738854,0,0.070063694,0,0,0.388535032,0.152866242,0.006369427,0,0,0.012738854,0,0.082802548,0.006369427,0,0.006369427,0,0,0,syllabus93
94,0.013274336,0,0.03539823,0,0,0.004424779,0,0,0.17699115,0.004424779,0,0.044247788,0,0.588495575,0,0,0,0,0.132743363,0,syllabus94
95,0.015384615,0.015384615,0.030769231,0,0,0,0,0.015384615,0,0,0.015384615,0,0,0.769230769,0.046153846,0,0,0,0.092307692,0,syllabus95
96,0.039840637,0,0.003984064,0,0,0,0.019920319,0,0.143426295,0,0.015936255,0.15936255,0,0.613545817,0.003984064,0,0,0,0,0,syllabus96
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,syllabus97
98,0,0,0,0,0.029411765,0.047058824,0.364705882,0,0,0,0.017647059,0,0,0.529411765,0,0,0.011764706,0,0,0,syllabus98
99,0.024054983,0,0.013745704,0.037800687,0,0.017182131,0.591065292,0,0.144329897,0,0,0,0,0.147766323,0,0.006872852,0.006872852,0.003436426,0.006872852,0,syllabus99
100,0,0.02247191,0.033707865,0,0.101123596,0,0.191011236,0.02247191,0,0,0,0,0,0.359550562,0.02247191,0,0.202247191,0.04494382,0,0,syllabus100
101,0.082125604,0.014492754,0.115942029,0,0.057971014,0,0.415458937,0.082125604,0,0,0,0.178743961,0,0.028985507,0,0,0.004830918,0.004830918,0.014492754,0,syllabus101
102,0.029850746,0.014925373,0,0,0,0,0,0.164179104,0,0.432835821,0.194029851,0.029850746,0,0.044776119,0.089552239,0,0,0,0,0,syllabus102
103,0,0,0,0,0.011904762,0.357142857,0,0.428571429,0,0,0,0,0,0,0.130952381,0,0.011904762,0,0.05952381,0,syllabus103
104,0.046296296,0.046296296,0,0,0,0.324074074,0,0.5,0,0.018518519,0,0.027777778,0,0,0.037037037,0,0,0,0,0,syllabus104
105,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0.806451613,0,0,0,0.161290323,0,0.016129032,syllabus105
106,0,0,0,0,0,0,0,0,0.080882353,0.014705882,0.014705882,0,0,0.507352941,0.029411765,0,0.014705882,0.264705882,0,0.073529412,syllabus106
107,0.040322581,0,0,0,0,0.008064516,0.008064516,0,0,0,0.056451613,0,0.008064516,0.701612903,0,0.056451613,0.016129032,0.040322581,0.008064516,0.056451613,syllabus107
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576923077,0,0,0,0.019230769,0.019230769,0.384615385,syllabus108
109,0.017045455,0,0.011363636,0,0,0.017045455,0.409090909,0.164772727,0,0.011363636,0.005681818,0.164772727,0,0.193181818,0,0,0,0.005681818,0,0,syllabus109
110,0,0,0.024390244,0,0.012195122,0,0.085365854,0.024390244,0,0,0,0,0,0.841463415,0,0,0.012195122,0,0,0,syllabus110
111,0.236842105,0,0.026315789,0.070175439,0,0,0.105263158,0,0.061403509,0,0,0.00877193,0.026315789,0.412280702,0,0,0,0,0.043859649,0.00877193,syllabus111
112,0,0,0,0,0.042253521,0,0,0.126760563,0,0,0,0.098591549,0,0.38028169,0.007042254,0.007042254,0.014084507,0.204225352,0,0.11971831,syllabus112
113,0.004878049,0,0.063414634,0,0.004878049,0.073170732,0.726829268,0.102439024,0.009756098,0.004878049,0,0,0,0.004878049,0,0,0,0,0,0.004878049,syllabus113
114,0,0,0.055172414,0,0.013793103,0.006896552,0.882758621,0.034482759,0,0,0,0.006896552,0,0,0,0,0,0,0,0,syllabus114
115,0,0.007352941,0,0,0,0,0.566176471,0.007352941,0,0,0,0,0,0.411764706,0,0,0.007352941,0,0,0,syllabus115
116,0.013513514,0,0.128378378,0,0,0,0.506756757,0,0,0,0.02027027,0,0,0.324324324,0,0,0,0,0.006756757,0,syllabus116
117,0.014545455,0,0,0.174545455,0,0,0,0,0,0.003636364,0.018181818,0.152727273,0.003636364,0.214545455,0.003636364,0.007272727,0,0.003636364,0.290909091,0.112727273,syllabus117
118,0.012345679,0,0,0,0,0,0,0.012345679,0,0,0,0,0,0.37037037,0,0,0,0,0.604938272,0,syllabus118
119,0.000335638,0,0.814593542,0,0.001074042,0.003289253,0.025374236,0.000201383,0.073101967,0,0.027253809,0.005168826,0.001074042,0.046586561,0.001074042,0,0.000738404,0,0.000134255,0,syllabus119
120,0,0.003816794,0.179389313,0,0.015267176,0.003816794,0.141221374,0.007633588,0,0,0,0,0,0.553435115,0.083969466,0,0,0.007633588,0,0.003816794,syllabus120
121,0,0,0.110169492,0.008474576,0,0,0,0,0.084745763,0,0,0,0,0.745762712,0.033898305,0.008474576,0,0,0,0.008474576,syllabus121
122,0.0625,0,0,0.03125,0,0,0,0.375,0,0.09375,0.015625,0.125,0,0.203125,0.015625,0,0,0,0.0625,0.015625,syllabus122
123,0,0,0,0,0,0,0,0.023529412,0,0,0.005882353,0.247058824,0,0.441176471,0,0.005882353,0.023529412,0.241176471,0,0.011764706,syllabus123
124,0.535353535,0,0,0,0,0,0,0.050505051,0,0,0,0.01010101,0,0.373737374,0,0.02020202,0,0,0.01010101,0,syllabus124
125,0,0,0.453012048,0,0.01686747,0.002409639,0,0.038554217,0.004819277,0,0.002409639,0,0,0.13253012,0.344578313,0,0.004819277,0,0,0,syllabus125
126,0.084210526,0,0.094736842,0.031578947,0,0.031578947,0,0.126315789,0,0,0,0,0,0.621052632,0,0,0.010526316,0,0,0,syllabus126
127,0,0,0,0,0.205882353,0,0.367647059,0,0.044117647,0,0.009803922,0,0.009803922,0.357843137,0.004901961,0,0,0,0,0,syllabus127
128,0,0.013071895,0,0,0.261437908,0,0,0,0,0,0.078431373,0,0,0.37254902,0.267973856,0,0,0,0.006535948,0,syllabus128
129,0,0.021276596,0,0,0.010638298,0.074468085,0,0.35106383,0,0.053191489,0.010638298,0.159574468,0,0,0,0,0,0.265957447,0,0.053191489,syllabus129
130,0,0.049222798,0.056994819,0.002590674,0,0,0.038860104,0.038860104,0.18134715,0.005181347,0,0,0,0.479274611,0.002590674,0.129533679,0,0,0.015544041,0,syllabus130
131,0,0,0,0.004784689,0,0.004784689,0,0.033492823,0.066985646,0,0.019138756,0.464114833,0,0.181818182,0,0,0,0.220095694,0.004784689,0,syllabus131
132,0,0,0,0.076923077,0,0,0,0.043956044,0.010989011,0,0.010989011,0,0,0.340659341,0.021978022,0,0.494505495,0,0,0,syllabus132
133,0.010152284,0,0.14213198,0,0.010152284,0,0.208121827,0,0.131979695,0.005076142,0,0,0,0.47715736,0,0,0,0,0,0.015228426,syllabus133
134,0,0,0,0.490566038,0.018867925,0.075471698,0,0.301886792,0.018867925,0,0.037735849,0,0,0.056603774,0,0,0,0,0,0,syllabus134
135,0.044642857,0,0.035714286,0,0,0,0,0.107142857,0.017857143,0,0,0,0,0.125,0.017857143,0,0,0,0.651785714,0,syllabus135
136,0,0,0.014018692,0,0,0,0,0,0,0,0,0.009345794,0.004672897,0.163551402,0.799065421,0.009345794,0,0,0,0,syllabus136
137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,syllabus137
138,0.021276596,0,0,0,0,0,0.063829787,0.085106383,0,0.021276596,0.021276596,0.085106383,0,0.680851064,0,0.021276596,0,0,0,0,syllabus138
139,0.005,0,0.025,0,0.005,0.02,0,0.13,0,0,0,0.255,0.025,0.535,0,0,0,0,0,0,syllabus139
140,0.1,0.005882353,0.205882353,0.011764706,0,0.005882353,0,0,0,0.005882353,0,0,0,0.6,0,0,0.058823529,0.005882353,0,0,syllabus140
141,0,0,0,0,0,0,0,0.151515152,0,0,0,0,0,0.363636364,0,0,0.090909091,0.393939394,0,0,syllabus141
142,0,0,0.030075188,0,0.007518797,0,0,0.135338346,0,0,0,0.62406015,0,0.022556391,0,0,0,0.172932331,0,0.007518797,syllabus142
143,0,0,0.287292818,0,0,0,0.165745856,0.127071823,0.193370166,0,0.005524862,0,0,0.17679558,0,0,0,0,0,0.044198895,syllabus143
144,0,0,0,0,0,0,0.01010101,0.01010101,0,0,0.01010101,0,0,0.383838384,0.565656566,0,0,0,0.02020202,0,syllabus144
145,0,0,0,0.008196721,0,0,0,0,0.004098361,0.008196721,0,0,0,0.225409836,0,0.004098361,0.553278689,0.004098361,0,0.192622951,syllabus145
146,0,0,0.008695652,0,0.034782609,0.026086957,0,0,0.165217391,0,0,0,0.008695652,0.165217391,0,0,0.443478261,0,0,0.147826087,syllabus146
147,0,0,0,0,0,0,0,0.212598425,0,0,0,0.582677165,0,0.039370079,0.007874016,0,0.015748031,0.141732283,0,0,syllabus147
148,0,0,0.241176471,0,0,0,0.023529412,0.179411765,0,0,0,0.111764706,0,0.211764706,0,0,0.229411765,0,0.002941176,0,syllabus148
149,0,0,0.7125,0.004166667,0,0,0,0.2375,0,0,0,0.016666667,0.004166667,0.020833333,0,0,0,0,0,0.004166667,syllabus149
150,0,0,0.004608295,0,0,0,0.451612903,0.133640553,0.119815668,0,0,0.01843318,0.00921659,0.262672811,0,0,0,0,0,0,syllabus150
151,0.103896104,0.012987013,0,0,0,0.012987013,0,0.25974026,0,0,0,0.324675325,0,0.285714286,0,0,0,0,0,0,syllabus151
152,0,0.054794521,0.01369863,0.01369863,0,0,0,0.438356164,0,0,0,0.04109589,0,0.205479452,0,0,0.232876712,0,0,0,syllabus152
153,0,0.004032258,0.495967742,0,0,0.004032258,0.258064516,0.173387097,0,0.004032258,0.004032258,0,0,0.052419355,0,0,0,0,0.004032258,0,syllabus153
154,0.037735849,0.003773585,0,0,0,0,0,0.018867925,0.105660377,0,0,0.003773585,0,0,0.830188679,0,0,0,0,0,syllabus154
155,0,0.179104478,0.014925373,0,0.074626866,0.014925373,0,0.179104478,0,0.014925373,0.014925373,0.089552239,0,0.014925373,0,0,0,0.402985075,0,0,syllabus155
156,0,0,0.006993007,0,0,0.006993007,0,0.125874126,0,0,0,0,0.013986014,0.006993007,0.118881119,0,0,0.622377622,0.097902098,0,syllabus156
157,0.033707865,0,0.02247191,0,0,0,0.011235955,0,0.056179775,0,0,0,0,0.348314607,0.112359551,0,0,0.415730337,0,0,syllabus157
158,0,0,0,0.008264463,0,0,0,0,0.008264463,0,0,0.024793388,0,0.247933884,0.41322314,0,0.297520661,0,0,0,syllabus158
159,0.009174312,0.009174312,0,0,0.04587156,0,0,0.036697248,0,0,0.183486239,0,0.073394495,0.458715596,0.174311927,0,0,0,0.009174312,0,syllabus159
160,0,0,0,0.008,0,0,0.008,0.08,0,0.008,0,0,0,0.376,0,0.008,0.336,0,0.056,0.12,syllabus160
161,0,0,0,0,0,0.095435685,0.356846473,0.211618257,0.012448133,0,0,0,0.024896266,0.244813278,0.053941909,0,0,0,0,0,syllabus161
